Run,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_.country_and.or_sea.,Sitegroup,Region,geographic_location_.depth..m.,Site,latitude,longitude,Sample_Name
Z11.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.5,Z11,35.20536667,93.10117778,Z11.H4
Z12.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,29.5,Z12,35.10845278,93.03587778,Z12.H1
Z12.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.1,Z12,35.10845278,93.03587778,Z12.H2
Z12.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,48.4,Z12,35.10845278,93.03587778,Z12.H3
Z12.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,47.7,Z12,35.10845278,93.03587778,Z12.H4
Z13.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,122,Z13,34.98304722,92.99610833,Z13.H1
Z13.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,9.87,Z13,34.98304722,92.99610833,Z13.H2
Z13.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.2,Z13,34.98304722,92.99610833,Z13.H3
Z13.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.57,Z13,34.98304722,92.99610833,Z13.H4
Z14.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,14.3,Z14,34.89500556,92.94111389,Z14.H1
Z14.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.4,Z14,34.89500556,92.94111389,Z14.H2
Z14.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.27,Z14,34.89500556,92.94111389,Z14.H3
Z14.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.27,Z14,34.89500556,92.94111389,Z14.H4
Z15.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.73,Z15,34.82599444,92.94858333,Z15.H1
Z15.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35.57,Z15,34.82599444,92.94858333,Z15.H2
Z15.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,19,Z15,34.82599444,92.94858333,Z15.H3
Z15.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.47,Z15,34.82599444,92.94858333,Z15.H4
Z15.H5,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.33,Z15,34.82599444,92.94858333,Z15.H5
Z16.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,10.4,Z16,34.4648,92.72076944,Z16.H1
Z16.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.3,Z16,34.4648,92.72076944,Z16.H2
Z16.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.47,Z16,34.4648,92.72076944,Z16.H3
Z16.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.4,Z16,34.4648,92.72076944,Z16.H4
Z17.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.17,Z17,34.38382222,92.82587778,Z17.H1
Z17.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.3,Z17,34.38382222,92.82587778,Z17.H2
Z17.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.4,Z17,34.38382222,92.82587778,Z17.H3
Z17.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,78.17,Z17,34.38382222,92.82587778,Z17.H4
Z18.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,33.23,Z18,34.29016389,92.99989167,Z18.H1
Z18.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.93,Z18,34.29016389,92.99989167,Z18.H2
Z18.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,15.23,Z18,34.29016389,92.99989167,Z18.H3
Z18.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.07,Z18,34.29016389,92.99989167,Z18.H4
Z19.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,22.57,Z19,34.29619444,92.66286944,Z19.H1
Z19.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.87,Z19,34.29619444,92.66286944,Z19.H2
Z19.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.3,Z19,34.29619444,92.66286944,Z19.H3
Z19.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,20.13,Z19,34.29619444,92.66286944,Z19.H4
Z2.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,15.63,Z2,37.72274167,100.5625417,Z2.H1
Z2.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.27,Z2,37.72274167,100.5625417,Z2.H2
Z2.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.5,Z2,37.72274167,100.5625417,Z2.H3
Z2.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.77,Z2,37.72274167,100.5625417,Z2.H4
Z20.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.8,Z20,34.27698056,92.48201389,Z20.H1
Z20.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.17,Z20,34.27698056,92.48201389,Z20.H2
Z20.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.1,Z20,34.27698056,92.48201389,Z20.H3
Z20.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,39.1,Z20,34.27698056,92.48201389,Z20.H4
Z21.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.8,Z21,34.11014722,92.39175,Z21.H1
Z21.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,48.8,Z21,34.11014722,92.39175,Z21.H2
Z21.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.13,Z21,34.11014722,92.39175,Z21.H3
Z21.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.6,Z21,34.11014722,92.39175,Z21.H4
Z22.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,20.87,Z22,34.06011111,92.31974167,Z22.H1
Z22.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,14.17,Z22,34.06011111,92.31974167,Z22.H2
Z22.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.2,Z22,34.06011111,92.31974167,Z22.H3
Z22.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,11.83,Z22,34.06011111,92.31974167,Z22.H4
Z23.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.67,Z23,33.8441,92.35836,Z23.H1
Z23.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.4,Z23,33.8441,92.35836,Z23.H2
Z23.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.97,Z23,33.8441,92.35836,Z23.H3
Z23.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.63,Z23,33.8441,92.35836,Z23.H4
Z24.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.23,Z24,33.745276,92.17572,Z24.H1
Z24.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.67,Z24,33.745276,92.17572,Z24.H2
Z24.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.93,Z24,33.745276,92.17572,Z24.H3
Z24.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,18.77,Z24,33.745276,92.17572,Z24.H4
Z25.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,67.9,Z25,32.68784722,91.87671111,Z25.H1
Z25.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.37,Z25,32.68784722,91.87671111,Z25.H2
Z25.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,42.53,Z25,32.68784722,91.87671111,Z25.H3
Z25.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,28.83,Z25,32.68784722,91.87671111,Z25.H4
Z26.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.47,Z26,32.57216111,91.85865556,Z26.H1
Z26.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,43.3,Z26,32.57216111,91.85865556,Z26.H2
Z26.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,45.17,Z26,32.57216111,91.85865556,Z26.H3
Z26.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.5,Z26,32.57216111,91.85865556,Z26.H4
Z27.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,28.37,Z27,32.900936,91.94164,Z27.H1
Z27.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,14.83,Z27,32.900936,91.94164,Z27.H2
Z27.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,19.2,Z27,32.900936,91.94164,Z27.H3
Z27.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.63,Z27,32.900936,91.94164,Z27.H4
Z27.H5,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.47,Z27,32.900936,91.94164,Z27.H5
Z28.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.9,Z28,32.41256944,91.80465278,Z28.H1
Z28.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.6,Z28,32.41256944,91.80465278,Z28.H2
Z28.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.47,Z28,32.41256944,91.80465278,Z28.H3
Z28.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,22.87,Z28,32.41256944,91.80465278,Z28.H4
Z29.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35.5,Z29,32.785564,91.90328,Z29.H1
Z29.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36,Z29,32.785564,91.90328,Z29.H2
Z29.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.97,Z29,32.785564,91.90328,Z29.H3
Z29.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,37.5,Z29,32.785564,91.90328,Z29.H4
Z3.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,11.77,Z3,38.82809722,98.97344722,Z3.H1
Z3.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.17,Z3,38.82809722,98.97344722,Z3.H2
Z3.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.23,Z3,38.82809722,98.97344722,Z3.H3
Z3.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.17,Z3,38.82809722,98.97344722,Z3.H4
Z30.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.17,Z30,32.088425,91.672575,Z30.H1
Z30.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,38.67,Z30,32.088425,91.672575,Z30.H2
Z30.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.5,Z30,32.088425,91.672575,Z30.H3
Z30.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,33.83,Z30,32.088425,91.672575,Z30.H4
Z31.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.03,Z31,31.558526,91.940592,Z31.H1
Z31.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.5,Z31,31.558526,91.940592,Z31.H2
Z31.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.83,Z31,31.558526,91.940592,Z31.H3
Z31.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.83,Z31,31.558526,91.940592,Z31.H4
Z31.H5,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.17,Z31,31.558526,91.940592,Z31.H5
Z32.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,46.5,Z32,31.17636111,91.76211944,Z32.H1
Z32.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.23,Z32,31.17636111,91.76211944,Z32.H2
Z32.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35,Z32,31.17636111,91.76211944,Z32.H3
Z32.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,38.67,Z32,31.17636111,91.76211944,Z32.H4
Z33.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,50.07,Z33,31.30514722,91.836175,Z33.H1
Z33.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,38.4,Z33,31.30514722,91.836175,Z33.H2
Z33.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.7,Z33,31.30514722,91.836175,Z33.H3
Z33.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35.1,Z33,31.30514722,91.836175,Z33.H4
Z34.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,29.67,Z34,31.64054444,92.06413333,Z34.H1
Z34.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,20.23,Z34,31.64054444,92.06413333,Z34.H2
Z34.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,19.73,Z34,31.64054444,92.06413333,Z34.H3
Z34.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.4,Z34,31.64054444,92.06413333,Z34.H4
Z35.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.8,Z35,31.84295,92.08031667,Z35.H1
Z35.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.33,Z35,31.84295,92.08031667,Z35.H2
Z35.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,11.5,Z35,31.84295,92.08031667,Z35.H3
Z35.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.17,Z35,31.84295,92.08031667,Z35.H4
Z36.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,37.73,Z36,31.366984,91.986672,Z36.H1
Z36.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.63,Z36,31.366984,91.986672,Z36.H2
Z36.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.83,Z36,31.366984,91.986672,Z36.H3
Z36.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,34.43,Z36,31.366984,91.986672,Z36.H4
Z37.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.77,Z37,31.72627778,91.80868056,Z37.H1
Z37.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,47.1,Z37,31.72627778,91.80868056,Z37.H2
Z37.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.77,Z37,31.72627778,91.80868056,Z37.H3
Z37.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.57,Z37,31.72627778,91.80868056,Z37.H4
Z38.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,39.67,Z38,34.91847222,98.51706667,Z38.H1
Z38.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,45.47,Z38,34.91847222,98.51706667,Z38.H2
Z38.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.57,Z38,34.91847222,98.51706667,Z38.H3
Z38.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,29.6,Z38,34.91847222,98.51706667,Z38.H4
Z39.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.33,Z39,34.71901667,99.08158333,Z39.H1
Z39.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.9,Z39,34.71901667,99.08158333,Z39.H2
Z39.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,28.13,Z39,34.71901667,99.08158333,Z39.H3
Z39.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.4,Z39,34.71901667,99.08158333,Z39.H4
Z40.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,38.73,Z40,34.76693056,98.11316667,Z40.H1
Z40.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.53,Z40,34.76693056,98.11316667,Z40.H2
Z40.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.77,Z40,34.76693056,98.11316667,Z40.H3
Z40.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,46.47,Z40,34.76693056,98.11316667,Z40.H4
Z41.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,40.7,Z41,34.58252778,97.99160278,Z41.H1
Z41.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,40.8,Z41,34.58252778,97.99160278,Z41.H2
Z41.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,39.57,Z41,34.58252778,97.99160278,Z41.H3
Z41.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.1,Z41,34.58252778,97.99160278,Z41.H4
Z42.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.43,Z42,34.24403056,97.84098333,Z42.H1
Z42.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,18.67,Z42,34.24403056,97.84098333,Z42.H2
Z42.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.87,Z42,34.24403056,97.84098333,Z42.H3
Z42.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.87,Z42,34.24403056,97.84098333,Z42.H4
Z43.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,24.53,Z43,34.43639444,97.94691944,Z43.H1
Z43.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,28.13,Z43,34.43639444,97.94691944,Z43.H2
Z43.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.97,Z43,34.43639444,97.94691944,Z43.H3
Z43.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.1,Z43,34.43639444,97.94691944,Z43.H4
Z44.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,64.33,Z44,34.67236944,98.09344444,Z44.H1
Z44.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,40.67,Z44,34.67236944,98.09344444,Z44.H2
Z44.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,72.2,Z44,34.67236944,98.09344444,Z44.H3
Z44.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,48.83,Z44,34.67236944,98.09344444,Z44.H4
Z45.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,49.27,Z45,34.81506944,98.38938889,Z45.H1
Z45.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.77,Z45,34.81506944,98.38938889,Z45.H2
Z45.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,33.33,Z45,34.81506944,98.38938889,Z45.H3
Z45.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,33.7,Z45,34.81506944,98.38938889,Z45.H4
Z46.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,53.23,Z46,34.55054167,99.14456389,Z46.H1
Z46.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,41.67,Z46,34.55054167,99.14456389,Z46.H2
Z46.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,39,Z46,34.55054167,99.14456389,Z46.H3
Z46.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,62.17,Z46,34.55054167,99.14456389,Z46.H4
Z47.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,68.17,Z47,34.130128,99.332976,Z47.H1
Z47.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.03,Z47,34.130128,99.332976,Z47.H2
Z47.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,63.57,Z47,34.130128,99.332976,Z47.H3
Z47.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,38.47,Z47,34.130128,99.332976,Z47.H4
Z48.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35.63,Z48,34.26486944,99.201725,Z48.H1
Z48.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,15.97,Z48,34.26486944,99.201725,Z48.H2
Z48.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,12.1,Z48,34.26486944,99.201725,Z48.H3
Z48.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.13,Z48,34.26486944,99.201725,Z48.H4
Z5.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,22.2,Z5,38.18055556,100.2463889,Z5.H1
Z5.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.1,Z5,38.18055556,100.2463889,Z5.H2
Z5.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.33,Z5,38.18055556,100.2463889,Z5.H3
Z5.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,18.03,Z5,38.18055556,100.2463889,Z5.H4
Z6.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,19,Z6,37.9865,100.83132,Z6.H1
Z6.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.4,Z6,37.9865,100.83132,Z6.H2
Z6.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.67,Z6,37.9865,100.83132,Z6.H3
Z6.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,19.97,Z6,37.9865,100.83132,Z6.H4
Z8.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35.37,Z8,35.44319167,93.59556111,Z8.H1
Z8.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.23,Z8,35.44319167,93.59556111,Z8.H2
Z8.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,240,Z8,35.44319167,93.59556111,Z8.H3
Z8.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.67,Z8,35.44319167,93.59556111,Z8.H4
Z8.H5,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,71,Z8,35.44319167,93.59556111,Z8.H5
Z9.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,84.17,Z9,35.38131111,93.4487,Z9.H1
Z9.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,46.77,Z9,35.38131111,93.4487,Z9.H2
Z9.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,51.5,Z9,35.38131111,93.4487,Z9.H3
Z9.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,45.63,Z9,35.38131111,93.4487,Z9.H4
